1|KS D 8522|고순도 알루미나 분말 소재의 시험방법|2019-06-20|2019-0120|기계융합산업표준과|윤승환|
231|KS L 3128-3|내화벽돌 및 내화 모르타르의 화학분석 방법 - 제 3부: 고알루미나질 내화물 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
232|KS L 3128-4|내화벽돌 및 내화 모르타르의 화학분석 방법 - 제 4부: 마그네시아질 내화물 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
233|KS L 3128-5|내화벽돌 및 내화 모르타르의 화학분석 방법 - 제 5부: 마그네시아 - 크로뮴질 내화물 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
234|KS L 3129|내화 모르타르의 건조 및 가열 선 변화율 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
235|KS L 3130|내화 벽돌의 도가니법에 의한 슬래그 침식 시험 방법 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
236|KS L 3131|조괴용 내화물|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
237|KS L 3132|지르콘 내화물|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
238|KS L 3133|내화 모르터의 냉간 접착 강도 시험 방법 (폐지)|1992-05-12||바이오화학서비스표준과|지민호|
239|KS L 3134|내화 벽돌의 장기 고온 하중 시험 방법 (폐지)|1992-05-12||바이오화학서비스표준과|지민호|
240|KS L 3135|내화물의 통기율 시험 방법 (폐지)|1992-05-12||바이오화학서비스표준과|지민호|
241|KS L 3136|수경성 시멘트 모르타르의 공기량 측정 방법|2021-04-22|2021-0095|기계융합산업표준과|정현우|
242|KS L 3137|지르코늄 내화물의 화학 분석 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
243|KS L 3138|여과용 자기질 점토 블록|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
244|KS L 3139|내화 벽돌 및 내화 단열 벽돌의 열간 꺾임 강도 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
245|KS L 3140|이 표준은 지르코늄-지르코니아질 내화물의 화학 분석 방법에 대하여 규정한다.|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
246|KS L 3201|내화 점토질 벽돌|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
247|KS L 3202|내화 모르타르|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
248|KS L 3203|단열 모르터 (폐지)|1991-07-05||바이오화학서비스표준과|박현영|
249|KS L 3204|규석 벽돌 (폐지)|2002-11-18|2002-1481|바이오화학서비스표준과|지민호|
250|KS L 3205|고알루미나질 내화 벽돌|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
251|KS L 3206|크롬 마그네시아질 벽돌|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
252|KS L 3207|코우크스 가마용 규석 벽돌 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
253|KS L 3208|도관|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
254|KS L 3209|도관 ( 이형관 ) (폐지)|1989-10-04||바이오화학서비스표준과|지민호|
255|KS L 3300|뮬라이트 내화물|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
256|KS L 3301|내화 단열 벽돌|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
257|KS L 3302|내화단열 벽돌의 모양 및 치수 (폐지)|1987-12-10||바이오화학서비스표준과|박현영|
258|KS L 3303|내화 단열 벽돌의 재가열 수축률 시험 방법|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
259|KS L 3304|내화 단열 벽돌의 비중 및 참기공률 측정 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
260|KS L 3305|내화 단열 벽돌의 압축 강도 시험 방법 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
261|KS L 3306|열선법에 따른 내화 벽돌의 열전도도 측정 방법 (폐지)|2018-11-20|2018-0434|바이오화학서비스표준과|지민호|
262|KS L 3307|내화단열 벽돌의 열간 선 팽창 수축률 시험 방법 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|박현영|
263|KS L 3308|화학공업용 내산 벽돌|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
264|KS L 3309|크롬 벽돌|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
265|KS L 3310|마그네시아 벽돌|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
266|KS L 3311|화학공업용 내산내열 벽돌|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
267|KS L 3312|화학 공업용 홈있는 내산 도자기 충전물 (폐지)|1991-07-23||바이오화학서비스표준과|지민호|
268|KS L 3313|열류법에따른내화벽돌의열전도측정방법 (폐지)|1985-09-06||바이오화학서비스표준과|지민호|
269|KS L 3314|내화벽 단열 벽돌의 꺽임 강도 시험 방법|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
270|KS L 3315|내화 벽돌 및 플라스틱 내화 단열벽돌의 스폴링 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|박현영|
271|KS L 3316|내화 벽돌 및 내화 모르터의 형광 X선 분석 방법 통칙|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
272|KS L 3317|내화 물의 통기율 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
273|KS L 3318|파인세라믹스용 질화규소 미분말의 화학분석방법 (폐지)|2001-10-11|2001-586|기계융합산업표준과|이승훈|
274|KS L 3401|유리용 도가니 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
275|KS L 3402|흑연 도가니 및 그 부속품|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
276|KS L 3403|인조흑연 둥근형 전극의 나사정밀도 측정 방법|2019-12-31|2019-0571|전기전자정보표준과|정진우|
277|KS L 3404|인조흑연 둥근형 전극|2019-12-31|2019-0571|전기전자정보표준과|정진우|
278|KS L 3405|카본블록 (폐지)|2001-10-11|2001-586|기계융합산업표준과|이승훈|
279|KS L 3407|고순도 흑연 소재|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
280|KS L 3408|영사용카본 (폐지)|2001-10-11|2001-586|기계융합산업표준과|이승훈|
281|KS L 3409|흑연 소재의 물리적 특성 시험방법|2020-12-28|2020-0521|바이오화학서비스표준과|지민호|
282|KS L 3410|고순도 흑연 소재의 화학 분석 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
283|KS L 3411|카본 블럭의 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
284|KS L 3412|흑연의 회분 측정 방법|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
285|KS L 3413|흑연의 수분 측정 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
286|KS L 3414|알루미나 - 지르코니아 - 실리카질 내화물의 화학분석방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
287|KS L 3415|알루미나 - 마그네시아질 내화물의 화학분석방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
288|KS L 3416|탄소 및 탄화규소 함유 내화물의 화학 분석 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
289|KS L 3417|티타늄산바륨의 납 및 카드뮴 정량 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
290|KS L 3418|알루미나 분말의 납 및 카드뮴 정량 방법(알카리 용융법)|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
291|KS L 3419|알루미나 분말의 납 및 카드뮴 정량 방법(가압분해법)|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
292|KS L 3501|캐스터블 내화물의 분류 및 시험 방법 (폐지)|1991-06-05||바이오화학서비스표준과|지민호|
293|KS L 3502|캐스터블 내화물의 시료 채취 방법 (폐지)|2002-12-27|2002-1743|바이오화학서비스표준과|지민호|
294|KS L 3503|캐스터블 내화물의 강도 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
295|KS L 3504|캐스터블 내화물의 입도 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
296|KS L 3505|캐스터블내화물의선변화율시험방법 (폐지)|1982-05-13||바이오화학서비스표준과|지민호|
297|KS L 3506|내화 원료의 내화도 시험 방법 (폐지)|2001-10-27||바이오화학서비스표준과|지민호|
298|KS L 3509|내화벽돌 및 내화 모르타르의 화학 분석 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
299|KS L 3511|고알루미나질 및 점토질 캐스터블 내화물|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
300|KS L 3513|고알루미나질 및 점토질 플라스틱 내화물|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
301|KS L 3515|고알루미나질 및 점토질 플라스틱 내화물의 열간선팽창률 시험방법 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
302|KS L 3516|경량 캐스터블 내화물의 입도 시험 방법 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
303|KS L 3517|경량 캐스터블 내화물의 강도 시험 방법 (폐지)|1992-10-05||바이오화학서비스표준과|지민호|
304|KS L 3518|경량 캐스터블 내화물의 선변화율 시험 방법|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
305|KS L 3519|경량 캐스터블 내화물의 부피 비중 시험 방법 ( 성형품에 의한방법 )|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
306|KS L 3521|경량 캐스터블 내화물|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
307|KS L 3522|소각로 및 보일러용 내화물 (폐지)|1991-07-23||바이오화학서비스표준과|지민호|
308|KS L 3523|내화 재료의 체가름 및 함수율 측정 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
309|KS L 3524|마그네시아 또는 페리클레스 입자의 수화율 측정 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
310|KS L 4001|도자기용 점토의 샘플링 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
311|KS L 4002|도자기용 점토의 유리 수분 측정 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
312|KS L 4003|도자기용 점토의 습식 체가름 시험 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
313|KS L 4004|도자기용 점토의 건조 수축과 소성 수축률의 측정 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
314|KS L 4005|비가소성 요업 원료의 체가름 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
315|KS L 4006|열전대용 비금속 보호관|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
316|KS L 4007|점토의 화학 분석 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
317|KS L 4008|도자기의 흡수율, 부피비중, 겉보기비중 및 겉기공률의 측정방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
318|KS L 4009|도자기 및 타일의 수분 팽창 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
319|KS L 4010|도자기용 점토의 여과속도 측정 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
320|KS L 4011|도자기식기의충격저항성시험방법 (폐지)|1988-11-16||바이오화학서비스표준과|지민호|
321|KS L 4201|점토 벽돌|2020-12-28|2020-0521|바이오화학서비스표준과|지민호|
322|KS L 4202|공동 벽돌 (폐지)|1981-12-11|86652|바이오화학서비스표준과|지민호|
323|KS L 4203|레이들용 내화 점토질 벽돌|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
324|KS L 4204|규회 벽돌|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
325|KS L 4205|소각로용 내화 점토질 벽돌 및 탄화 규소질 벽돌 (폐지)|1992-10-05||바이오화학서비스표준과|지민호|
326|KS L 4206|보일러 및 소각로용 점토질 플라스틱 내화물 (폐지)|1992-10-05||바이오화학서비스표준과|지민호|
327|KS L 4207|보일러 및 소각로용 기경성 내화 모르터 (폐지)|1992-10-05||바이오화학서비스표준과|지민호|
328|KS L 4208|공장용 바닥 벽돌|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
329|KS L 4209|미장 벽돌 (폐지)|1989-05-15||바이오화학서비스표준과|지민호|
330|KS L 4210|벽돌의 화학적 저항선 시험 방법 (폐지)|1992-10-05||바이오화학서비스표준과|지민호|
331|KS L 4505|창호용 금속 레일 (폐지)|1966-12-23||바이오화학서비스표준과|지민호|
332|KS L 5100|시멘트 강도 시험용 표준사 (폐지)|2008-12-29|2008-0976|기계융합산업표준과|정현우|
333|KS L 5101|시멘트의 시료 채취 방법|2018-07-11|2018-0209|기계융합산업표준과|정현우|
334|KS L 5102|수경성 시멘트의 표준 질기 시험방법|2021-08-04|2021-0218|기계융합산업표준과|정현우|
335|KS L 5103|길모어 침에 의한 시멘트의 응결시간 시험 방법|2021-08-04|2021-0218|기계융합산업표준과|정현우|
336|KS L 5104|수경성 시멘트 모르타르의 인장 강도 시험 방법|2017-12-04|2017-0563|기계융합산업표준과|정현우|
337|KS L 5105|수경성 시멘트 모르타르의 압축 강도 시험 방법|2017-10-05|2017-0428|기계융합산업표준과|정현우|
338|KS L 5106|공기 투과 장치에 의한 포틀랜드 시멘트의 분말도 시험 방법|2019-12-31|2019-0598|기계융합산업표준과|정현우|
339|KS L 5107|시멘트의 오토클레이브 팽창도 시험 방법|2021-08-04|2021-0218|기계융합산업표준과|정현우|
340|KS L 5108|비카트 침에 의한 수경성 시멘트의 응결 시간 시험 방법 (폐지)|2017-12-04|2017-0564|기계융합산업표준과|정현우|
341|KS L 5109|굳지 않은 수경성 시멘트 페이스트 및 모르타르의 기계적 혼합 방법|2017-12-04|2017-0563|기계융합산업표준과|정현우|
342|KS L 5110|시멘트의 밀도 시험 방법|2021-11-23|2021-0537|기계융합산업표준과|정현우|
343|KS L 5111|수경성 시멘트 시험용 플로 테이블|2017-12-04|2017-0563|기계융합산업표준과|정현우|
344|KS L 5112|45 ㎛ 표준체에 의한 수경성 시멘트 분말도의 시험방법|2017-12-04|2017-0563|기계융합산업표준과|정현우|
345|KS L 5113|백색 포틀랜드 시멘트의 백색도 시험 방법|2018-07-11|2018-0209|기계융합산업표준과|정현우|
346|KS L 5114|섬유강화 시멘트판|2019-11-22|2019-0381|바이오화학서비스표준과|박현영|
347|KS L 5115|석면 시멘트판 (폐지)|1997-12-23||바이오화학서비스표준과|지민호|
348|KS L 5116|석면 시멘트관 (폐지)|2009-08-03|2009-0382|바이오화학서비스표준과|지민호|
349|KS L 5117|표준체 90㎛에 의한 시멘트 분말도의 시험 방법|2021-04-22|2021-0095|기계융합산업표준과|정현우|
350|KS L 5118|포틀랜드 시멘트의 무수 황산 최적값 시험 방법|2017-12-04|2017-0563|기계융합산업표준과|정현우|
351|KS L 5119|포틀랜드 시멘트 조기 경화 시험 방법(모르타르 방법)|2017-12-04|2017-0563|기계융합산업표준과|정현우|
352|KS L 5120|포틀랜드 시멘트의 화학 분석 방법|2021-04-22|2021-0095|기계융합산업표준과|정현우|
353|KS L 5121|수경성 시멘트의 수화열 시험방법|2017-12-04|2017-0563|기계융합산업표준과|정현우|
354|KS L 5123|석면 시멘트 규산칼슘 판 (폐지)|1997-12-23||바이오화학서비스표준과|지민호|
355|KS L 5201|포틀랜드 시멘트|2021-11-23|2021-0537|기계융합산업표준과|정현우|
356|KS L 5202|석면포 (폐지)|2001-08-20||바이오화학서비스표준과|지민호|
357|KS L 5203|석면 편조 패킹 (폐지)|2001-08-20||바이오화학서비스표준과|지민호|
358|KS L 5204|백색 포틀랜드 시멘트|2017-12-04|2017-0563|기계융합산업표준과|정현우|
359|KS L 5205|내화물용 알루미나 시멘트|2019-12-31|2019-0601|기계융합산업표준과|정현우|
360|KS L 5206|내화물용 알루미나 시멘트의 화학 분석 방법|2019-12-31|2019-0601|기계융합산업표준과|정현우|
361|KS L 5207|내화물용 알루미나 시멘트의 물리 시험 방법|2019-12-31|2019-0601|기계융합산업표준과|정현우|
362|KS L 5208|내화물용 크로뮴 광석의 화학 분석 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
363|KS L 5209|석면 규회판 (폐지)|1995-12-11||바이오화학서비스표준과|지민호|
364|KS L 5210|고로 슬래그 시멘트|2017-08-14|2017-0294|기계융합산업표준과|정현우|
365|KS L 5211|플라이 애시 시멘트|2019-12-31|2019-0601|기계융합산업표준과|정현우|
366|KS L 5212|산업기계용 브레이크 라이닝|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
367|KS L 5213|물전해용 석면 견막 (폐지)|1996-12-02||바이오화학서비스표준과|지민호|
368|KS L 5214|마그네시아 단열 시멘트 (폐지)|1992-12-31||바이오화학서비스표준과|박현영|
369|KS L 5215|석면 단열 시멘트 (폐지)|1992-12-31||바이오화학서비스표준과|박현영|
370|KS L 5216|박리 팽창 질석을 사용한 단열 시멘트|2017-10-05|2017-0431|기계융합산업표준과|정현우|
371|KS L 5217|팽창 수경성 시멘트|2017-10-05|2017-0431|기계융합산업표준과|정현우|
372|KS L 5218|팽창 시멘트 모르타르의 억제 팽창도 시험방법|2017-10-05|2017-0431|기계융합산업표준과|정현우|
373|KS L 5219|메이슨리 시멘트|2019-12-31|2019-0601|기계융합산업표준과|정현우|
374|KS L 5220|건조 시멘트 모르타르|2018-07-11|2018-0208|기계융합산업표준과|정현우|
375|KS L 5221|시멘트에 함유된 수용성 6가 크로뮴의 정량 분석 방법|2017-10-05|2017-0431|기계융합산업표준과|정현우|
376|KS L 5222|시멘트의 형광 X선 분석 방법|2019-12-31|2019-0598|기계융합산업표준과|정현우|
377|KS L 5300|고형시료의 석면 분석방법|2019-11-22|2019-0381|바이오화학서비스표준과|박현영|
378|KS L 5301|석면사 (폐지)|2001-08-20||바이오화학서비스표준과|지민호|
379|KS L 5302|석면 시멘트질 압력관 (폐지)|1991-09-17||바이오화학서비스표준과|지민호|
380|KS L 5304|석면 패킹 끈 (폐지)|1986-12-04||바이오화학서비스표준과|지민호|
381|KS L 5311|석면판 (폐지)|2001-08-20||바이오화학서비스표준과|지민호|
382|KS L 5312|석면플랙시블평판 (폐지)|1983-10-25||바이오화학서비스표준과|지민호|
383|KS L 5313|시멘트용 천연 석고|2021-11-23|2021-0537|기계융합산업표준과|정현우|
384|KS L 5314|석면 시멘트질 하수관 ( 무압력 ) (폐지)|1991-09-17||바이오화학서비스표준과|지민호|
385|KS L 5315|판재용 석고 바탕재|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
386|KS L 5316|석고판재류의 물리적 특성 시험 방법|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
387|KS L 5401|포졸란 시멘트|2017-08-14|2017-0294|기계융합산업표준과|정현우|
388|KS L 5402|포틀랜드 시멘트 콘크리트 혼합재로 사용 하는 플라이 애쉬의 시료 채취 및 시험 방법 (폐지)|1992-11-09||바이오화학서비스표준과|지민호|
389|KS L 5405|플라이 애시|2018-07-11|2018-0208|기계융합산업표준과|정현우|
390|KS L 5406|조인트 시트|2022-05-03|2022-0064|바이오화학서비스표준과|박현영|
391|KS L 5501|고알루미나질 및 점토질 플라스틱 내화물의 시료 채취 방법 (폐지)|2001-08-20||바이오화학서비스표준과|지민호|
392|KS L 5502|고알루미나질 및 점토질 플라스틱 내화물의 함수율 시험 방법 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
393|KS L 5503|점토질 플라스틱 내화물의 내화도 시험 방법 (폐지)|2002-11-18|2002-1481|바이오화학서비스표준과|지민호|
394|KS L 5504|고알루미나질 및 플라스틱 내화물의 강도 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
395|KS L 5505|고알루미나질 및 점토질 플라스틱 내화물의 선 변화율 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
396|KS L 5506|점토 성형체의 꺽임 강도 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
397|KS L 5507|포조란 혼합용 석회|2021-09-27|2021-0397|바이오화학서비스표준과|박현영|
398|KS L 5508|석회 혼합용 플라이 애시 및 포졸란|2018-07-11|2018-0208|기계융합산업표준과|정현우|
399|KS L 5509|석고 시멘트판|2021-09-27|2021-0408|바이오화학서비스표준과|박현영|
400|KS L 6001|연삭숫돌용 연마재의 입도|2017-12-26|2017-0623|기계융합산업표준과|김민우|
401|KS L 6002|연마포 (폐지)|2017-12-27|2017-0647|기계융합산업표준과|김민우|
402|KS L 6003|연마지 (폐지)|2017-12-27|2017-0647|기계융합산업표준과|김민우|
403|KS L 6004|내수 연마지 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|김민우|
404|KS L 6005|연마포지의 선택표준 (폐지)|2001-10-11|2001-586|기계융합산업표준과|김민우|
405|KS L 6101|용융 알루미나 연삭재의 화학 분석 방법 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
406|KS L 6102|용융알루미나 연삭재의 소결시험방법 (폐지)|2001-10-11|2001-586|기계융합산업표준과|양승배|
407|KS L 6210|마그네시아 연삭 숫돌|2019-12-13|2019-0470|기계융합산업표준과|김민우|
408|KS L 6211|세그먼트 ( 부채꼴 ) 연삭 숫돌|2019-12-13|2019-0470|기계융합산업표준과|김민우|
409|KS L 6212|레지노이드 연삭숫돌|2020-12-29|2020-0574|기계융합산업표준과|김민우|
410|KS L 6213|너트 달린 디스크형 연삭 숫돌 및 너트 달린 링형 연삭 숫돌|2018-11-22|2018-0439|기계융합산업표준과|김민우|
411|KS L 6498|연마 디스크|2017-12-26|2017-0623|기계융합산업표준과|김민우|
412|KS L 6499|고무 절단용 숫돌|2017-12-26|2017-0623|기계융합산업표준과|김민우|
413|KS L 6500|축 달린 숫돌|2017-12-26|2017-0623|기계융합산업표준과|김민우|
414|KS L 6501|비트리파이드 연삭숫돌|2020-12-29|2020-0574|기계융합산업표준과|김민우|
415|KS L 6504|레지노이드 절단숫돌|2020-12-29|2020-0574|기계융합산업표준과|김민우|
416|KS L 6505|레지노이드 오프셋 연삭숫돌|2020-12-29|2020-0574|기계융합산업표준과|김민우|
417|KS L 6506|연마 벨트 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|김민우|
418|KS L 6507|엔드리스 연마벨트 (폐지)|2001-10-11|2001-586|기계융합산업표준과|김민우|
419|KS L 6508|인조 연삭재|2018-12-28|2018-0578|기계융합산업표준과|김민우|
420|KS L 6509|인조 연삭재의 부피비중 시험방법 (폐지)|2001-10-11|2001-586|기계융합산업표준과|김민우|
421|KS L 6510|탄화규소 연삭재의 화학분석 방법|2018-11-22|2018-0439|기계융합산업표준과|김민우|
422|KS L 6511|연마재 연삭 숫돌 및 연마 포지의 용어와 기호|2019-12-13|2019-0466|기계융합산업표준과|김민우|
423|KS L 6512|연마재의 샘플링 방법 (폐지)|2018-02-27|2018-0038|기계융합산업표준과|김민우|
424|KS L 6513|연삭 숫돌용 연마재의 입도 시험 방법 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
425|KS L 6514|인조 연삭재의 자성물 시험 방법 (폐지)|2001-10-10|2001-0586|기계융합산업표준과|김민우|
426|KS L 6515|인조 연삭재의 친수성 시험 방법 (폐지)|2017-12-27|2017-0647|기계융합산업표준과|김민우|
427|KS L 6516|인조 연삭재의 비중 측정 방법 (폐지)|2017-12-27|2017-0647|기계융합산업표준과|김민우|
428|KS L 6517|연삭 숫돌의 모양 및 치수 (폐지)|2002-10-08|2002-1243|기계융합산업표준과|김민우|
429|KS L 6518|연삭 숫돌의 최고 사용 원주속도|2018-12-28|2018-0578|기계융합산업표준과|김민우|
430|KS L 6519|인조연삭재의 pH 측정방법 (폐지)|2001-10-11|2001-586|기계융합산업표준과|김민우|
431|KS L 6520|인조연삭재의 인성 시험방법 (폐지)|2001-10-11|2001-586|기계융합산업표준과|김민우|
432|KS L 6521|원통 연마 슬리브의 모양 및 치수 (폐지)|2016-12-29|2016-0594|기계융합산업표준과|김민우|
433|KS L 6522|연마포지 — 연마재 입도|2021-08-31|2021-0299|기계융합산업표준과|김민우|
434|KS L 6523|연마포지 — 연마재 입도의 시험방법|2021-08-31|2021-0299|기계융합산업표준과|김민우|
435|KS L 6524|연마포지용 연마재의 미분입도 시험방법 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|김민우|
436|KS L 6525|연삭 숫돌 ― 일반 ― 호칭 기호 붙이는 방법, 표시 방법, 바깥지름의 범위 및 치수 허용차 (폐지)|2017-12-27|2017-0647|기계융합산업표준과|김민우|
437|KS L 6526|축달린 연마 플랩 휠의 모양 및 치수|2017-12-26|2017-0623|기계융합산업표준과|김민우|
438|KS L 6527|플랜지형 연마 플랩 휠의 모양 및 치수|2017-12-26|2017-0623|기계융합산업표준과|김민우|
439|KS L 6528|조립 인조 연삭재의 부피밀도 시험방법|2018-12-28|2018-0578|기계융합산업표준과|김민우|
440|KS L 6529|미립 인조 연삭재의 부피밀도 시험방법 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|김민우|
441|KS L 6801|탄소섬유-밀도시험방법|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
442|KS L 6802|탄소섬유-사이징제 부착율 시험방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
443|KS L 6803|탄소섬유-단섬유의 인장특성 시험방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
444|KS L 6804|탄소섬유-단섬유의 지름 및 단면적 시험방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
445|KS L 7102|공업용 글라스라이닝 기기 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
446|KS L 7103|공업용 글라스라이닝 기기 시험 방법 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
447|KS L 7104|이화학용 법랑 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
448|KS L 8001|제겔콘 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
449|KS L 8011|탄화 규소 발열체 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
450|KS L 8021|열전대용 비금속 절연관|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
451|KS L 8510|부생석회 벽돌|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
452|KS L 8511|보차도용 부생석회 블록|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
453|KS L 8512|재활용주물사 보차도용 콘크리트 인터로킹 블록|2019-12-31|2019-0604|기계융합산업표준과|정현우|
454|KS L 8513|재활용주물사 콘트리트 벽돌 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
455|KS L 8514|재활용 결정화 유리|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
456|KS L 8520|연소재 벽돌|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
457|KS L 8551|경량 발포 세라믹 블록|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
458|KS L 9001|도자기 형재용 석고|2020-12-28|2020-0521|바이오화학서비스표준과|지민호|
459|KS L 9002|도자기 형재용 석고의 물리 시험방법|2020-12-28|2020-0521|바이오화학서비스표준과|지민호|
460|KS L 9003|석고의 화학 분석 방법|2020-12-28|2020-0521|바이오화학서비스표준과|지민호|
461|KS L 9004|석회의 화학 분석 방법|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
462|KS L 9005|시멘트용 인산 정제 석고 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
463|KS L 9006|산업 폐수 처리용 석회 및 석회석 제품 (폐지)|1995-11-24||바이오화학서비스표준과|지민호|
464|KS L 9007|미장용 소석회|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
465|KS L 9008|화학 분석용 자기 비이커 (폐지)|2005-08-09|2005-0475|바이오화학서비스표준과|지민호|
466|KS L 9009|석고 . 석회 및 마그네시아 시멘트 용어 (폐지)|1990-12-24||바이오화학서비스표준과|지민호|
