1|KS A 0001|표준서의 서식 및 작성방법|2021-01-11|2021-0002|산업표준혁신과|고정하|
250|KS A 3010|계측 용어 ( 정확도 및 정밀도에 관한 것 ) (폐지)|1986-12-31||기계융합산업표준과|양승배|
251|KS A 3011|조도 기준|2018-12-24|2018-0534|전기전자정보표준과|김원석|
252|KS B 5620|광학용어|2017-11-27|2017-0536|기계융합산업표준과|고설근|
253|KS A 3016|계장용 기호 (폐지)|2017-07-17|2017-0238|기계융합산업표준과|김민우|
254|KS A 3017|진공용어(진공펌프 및 관련용어) (폐지)|2017-12-11|2017-0582|기계융합산업표준과|양승배|
255|KS A 3018|진공용어(진공계 및 관련용어) (폐지)|2017-12-11|2017-0582|기계융합산업표준과|양승배|
256|KS A 3019|생산관리 기본 용어|2018-10-31|2018-0403|기계융합산업표준과|김민우|
257|KS A 3020|생산관리 용어(공정 관리)|2018-10-31|2018-0403|기계융합산업표준과|김민우|
258|KS A 3021|생산 관리 용어(설비 관리)|2019-12-24|2019-0519|기계융합산업표준과|김민우|
259|KS A 3101|샘플링 검사 통칙 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
260|KS A 3102|계수 규준형 1 회 샘플링 검사(불량 개수인 경우) (폐지)|2013-11-05|2013-0596|기계융합산업표준과|양승배|
261|KS A 3105|계수선별형 1회 샘플링 검사 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
262|KS A 3106|계수 연속 생산형 샘플링 검사 ( 불량개수의 경우 ) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
263|KS A 3107|계수규준형 축차 샘플링검사 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
264|KS A 3108|계수 규준형 축차 샘플링 검사(표준 편차를 알고 있을때 로트의 불량률을 보증하는 경우) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
265|KS A 3109|계수조정형 샘플링검사(공급자를 선택할수 있을경우의 수입검사) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
266|KS A 3111|계수조정형 1회 샘플링 검사 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
267|KS A 3112|고장정보 보고, 분석 및 시정조치 시스템|2022-09-02|2022-0282|전기전자정보표준과|조형민|
268|KS A 3201|슈하트 관리도 (폐지)|2009-01-02|2008-0851|기계융합산업표준과|양승배|
269|KS A 3202|X관리도 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|김민우|
270|KS A 3203|메디안 관리도 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|김민우|
271|KS A 3251|측정치의 처리 방법 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
272|KS A 3251-2|데이터의 통계적 해석방법-제2부 : 평균 및 분산에 관한 검정방법 및 추정방법 (폐지)|2013-11-05|2013-0596|기계융합산업표준과|양승배|
273|KS A 3252|모평균과 기준치와의 차의검정(표준편차를 알고 있을때,한쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
274|KS A 3253|모평균과 기준치와의 차의검정(표준편차를 알고 있을때,양쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
275|KS A 3254|모평균과 기준치와의 차의 검정(표준편차를 모를때,한쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
276|KS A 3255|모평균과 기준치와의 차의 검정(표준편차를 모를때,양쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
277|KS A 3256|두모평균의 차의 검정(표준편차를 알고 있을때,한쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
278|KS A 3257|두모평균의 차의검정(표준편차를 알고 있을때,양쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
279|KS A 3258|두모평균의 차의검정(표준편차를 모를때,한쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
280|KS A 3259|두모평균의 차의검정(표준편차를 모를때,양쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
281|KS A 3260|모평균의 구간추정(표준편차를 알고 있을때) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
282|KS A 3261|모평균의 구간 추정(표준편차를 모를때) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
283|KS A 3262|두모평균의 차의 구간(표준편차를 알고 있을때) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
284|KS A 3263|두모평균의 차의 구간추정(표준편차를 모를때) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
285|KS A 3264|모분산과 기준치와의 차의 검정(한쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
286|KS A 3265|모분산과 기준치와의 차의검정(양쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
287|KS A 3266|두모분산의 차의검정(한쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
288|KS A 3267|두모분산의 차의검정(양쪽) (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
289|KS A 3268|모분산의 구간추정 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
290|KS A 3269|두모분산의 비의 구간추정 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
291|KS A 3324|방전 램프의 색도 범위 (폐지)|2005-12-12|2005-0853|전기전자정보표준과|김원석|
292|KS A 3325|형광램프의 광원색 및 연색성에 따른 구분|2017-08-25|2017-0310|전기전자정보표준과|김원석|
293|KS A 3501|안전색 및 안전 표지 (폐지)|2005-12-22|2005-0912|바이오화학서비스표준과|박정은|
294|KS A 3502|안전색－일반적 사항 (폐지)|2007-09-27|2007-0732|바이오화학서비스표준과|박정은|
295|KS A 3503|안전 표지등 (폐지)|2007-09-27|2007-0732|바이오화학서비스표준과|박정은|
296|KS A 3504|안전표지판 (폐지)|2007-12-05|2007-1148|바이오화학서비스표준과|박정은|
297|KS T 3505|반사 안전 표지판|2019-10-30|2019-0342|기계융합산업표준과|강민구|
298|KS A 3506|형광 안전 표지판 (폐지)|2001-07-27|2001-0417||김철호|
299|KS T 3507|산업 및 교통 안전용 재귀 반사 시트|2019-10-30|2019-0342|기계융합산업표준과|강민구|
300|KS A 3508|발광 안전 표지판 (폐지)|2001-07-27|2001-0417||김철호|
301|KS A 3509|축광 안전 표지판 (폐지)|2001-07-27|2001-0416||김철호|
302|KS A 3510|안전 표지－일반적 사항 (폐지)|2007-09-27|2007-0732|바이오화학서비스표준과|박정은|
303|KS A 3511|형광 안전 색채 사용 통칙 (폐지)|2007-12-05|2007-1148|바이오화학서비스표준과|박정은|
304|KS A 3512|건널목 시설물의 안전 색채|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
305|KS A 3513|재귀성 반사체 - 광학적 특성 - 용어|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
306|KS A 3514|재귀성 반사체 - 광학적 특성 - 측정 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
307|KS A 3601|사진 감광 재료의 녹색 형광판에 의한 X선 간접 촬영 감도 측정용 광원|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
308|KS A 3602|X 선 사진용 인화지의 치수|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
309|KS A 3603|사진 촬영용 샤프 컷 유리 필터|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
310|KS A 3604|안전 사진 필름|2019-12-30|2019-0559|바이오화학서비스표준과|박정은|
311|KS A 3605|사진 — 해상도 측정 — 사진용 잉크젯 프린터|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
312|KS A 3701|도로 조명 기준|2019-12-30|2019-0591|전기전자정보표준과|김원석|
313|KS A 3702|횡단 보도 조명 기준 (폐지)|1991-11-07||전기전자정보표준과|김원석|
314|KS A 3800|장표의 설계기준 (폐지)|2016-10-19|2016-0372|바이오화학서비스표준과|박정은|
315|KS A 3801|명판의 설계 기준 (폐지)|2016-10-19|2016-0372|바이오화학서비스표준과|박정은|
316|KS T 3805|도로 시선 유도 표지용 재귀성 반사체|2017-12-26|2017-0639|기계융합산업표준과|강민구|
317|KS T 3806|도로 표지병|2017-12-26|2017-0639|기계융합산업표준과|강민구|
318|KS A 3807|일반 편집 기호|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
319|KS A 3861|사진 감광재료의 녹색 형광판에 의한 X 선 간접촬영 감도 측정 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
320|KS A 4000|에너지경영시스템 (폐지)|2011-10-04|2011-0390|바이오화학서비스표준과|채송화|
321|KS A 4001|의료용 방사선 기기 그림 기호|2020-11-20|2020-0395|전기전자정보표준과|조형민|
322|KS A 4011|방사성 물질 차폐 용기 (폐지)|1980-09-12||바이오화학서비스표준과|채송화|
323|KS A 4012|실내용 방사성 폐기물 용기 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
324|KS A 4013|X 선관 및 X 선용 정류관 베이스의 형명 (폐지)|1982-10-29||바이오화학서비스표준과|채송화|
325|KS A 4014|X 선관 및 X 선용 정류관 베이스의 종류와 치수 (폐지)|1982-10-29||바이오화학서비스표준과|채송화|
326|KS A 4015|X 선용 정류관 통칙 (폐지)|1982-10-29||바이오화학서비스표준과|채송화|
327|KS A 4016|원자력 단위 기호 (폐지)|1982-07-26||바이오화학서비스표준과|채송화|
328|KS A 4017|의료용 X 선관 통칙 (폐지)|2017-12-29|2017-107|의료기기정책과|정상오|
329|KS A 4018|원자력 양기호 (폐지)|1982-07-26||바이오화학서비스표준과|채송화|
330|KS A 4019|원자력 용어|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
331|KS A 4020|흉부 간접 촬영용 X 선관 장치 및 정류관 (폐지)|2017-12-29|2017-107|의료기기정책과|정상오|
332|KS A 4021|의료용 X 선 장치 통칙 (폐지)|2017-12-29|2017-107|의료기기정책과|정상오|
333|KS A 4022|의료용 X선 고전압 장치 통칙 (폐지)|2002-10-23|2002-1342|전기전자정보표준과|서순규|
334|KS A 4025|X 선 방호용품류의 납당량 시험방법|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
335|KS A 4026|전자관의 전기적 특성 측정－가이거ㆍ뮐러 계수관의 시험 방법|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
336|KS A 4027|가이거 . 뮬러 계수관 통칙 (폐지)|1990-12-26||바이오화학서비스표준과|박현영|
337|KS A 4028|γ 선 및 고에너지 X선용 필름 배지 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
338|KS A 4029|흉부 X 선 간접 촬영용 미러 카메라|2021-12-08|2021-103|의료기기정책과|정상오|
339|KS A 4030|가이거 . 뮬러 계수관 (폐지)|2002-12-19|2002-1702|바이오화학서비스표준과|지민호|
340|KS A 4031|방사선 측정기용 직류 고압 전원 장치 (폐지)|2000-12-30||바이오화학서비스표준과|채송화|
341|KS A 4032|가이거 . 뮬러 계수관용 계수 장치 (폐지)|1990-12-26||바이오화학서비스표준과|지민호|
342|KS A 4033|감마 ( R ) 선 및 경 X 선용 필름 뱃지 취급 방법 (폐지)|2001-08-11|2001-0458|바이오화학서비스표준과|채송화|
343|KS A 4034|R 선용 신치레이션 서베이 미터 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
344|KS A 4035|X 선 간접 촬영기 (폐지)|1990-12-26||바이오화학서비스표준과|박정은|
345|KS A 4036|X 선 방호 장갑|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
346|KS A 4037|가이거 . 뮬러 계수관식 방사선 서베이미터 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
347|KS A 4038|X 선 차폐용 함납 고무판 및 함납염화비닐판 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
348|KS A 4039|신치레이션식 방사성 표면 오염계 (폐지)|1982-11-25||바이오화학서비스표준과|채송화|
349|KS A 4041|X선 및 감마선용 직독식 포켓 선량계 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
350|KS A 4042|전리함형 방사선 서베이 미터 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
351|KS A 4043|붕소 도포식 중성자용 포켓 선량계 (폐지)|1982-07-26||바이오화학서비스표준과|채송화|
352|KS A 4044|전리함형 방사성 표면 오염계 (폐지)|1982-07-26||바이오화학서비스표준과|채송화|
353|KS A 4045|X선용 필름 배지 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
354|KS A 4046|전리함형 라돈계 (폐지)|1982-11-25||바이오화학서비스표준과|채송화|
355|KS A 4047|개인용조사선량경보계 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
356|KS A 4048|공기 중 부유 입자의 방사능 농도 측정 방법 (폐지)|2000-12-30||바이오화학서비스표준과|채송화|
357|KS A 4051|조사 선량 측정기 및 선량 당량 측정기의 교정 방법|2020-12-23|2020-0513|바이오화학서비스표준과|채송화|
358|KS A 4054|비파괴 검사용 화질 지시계－원리 및 판정 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
359|KS A 4231|회전 양극 X 선관 장치 통칙 (폐지)|1990-12-26||바이오화학서비스표준과|박정은|
360|KS A 4314|형광 유리 선량 계측 장치|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
361|KS A 4315|손발 오염 감지기|2020-12-23|2020-0513|바이오화학서비스표준과|채송화|
362|KS A 4318|가스 봉입 계수관식 방사성 표면 오염계 (폐지)|1990-12-26||바이오화학서비스표준과|지민호|
363|KS A 4320|열형광 선량 계측 장치 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
364|KS A 4321|방사선 검출용 활성 탈륨 요오드화나트륨 섬광체|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
365|KS A 4323|광범위용 필름 배지 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
366|KS A 4401|방사선 측정용 시료 접시 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
367|KS A 4402|액체 섬광 계수용 시료 용기 (폐지)|2000-12-30|||김철호|
368|KS A 4415|B 선 측정용 흡수판 세트 (폐지)|2000-12-30||바이오화학서비스표준과|채송화|
369|KS A 4421|방사성 먼지 감시기 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
370|KS A 4422|방사성 먼지 채집기|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
371|KS A 4440|방사성 표면 오염 제염－제염의 난이성 시험과 평가 방법 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
372|KS A 4441|방사성 표면 오염 서베이미터 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
373|KS A 4442|수중 γ 선 검출형 감시기 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
374|KS A 4443|환경 r선 연속 감시기 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
375|KS A 4444|잔류 X선 차폐 장치|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
376|KS A 4445|의료용 X 선 촬영대|2021-12-08|2021-103|의료기기정책과|정상오|
377|KS A 4446|X선 관전압 측정기|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
378|KS A 4502|X 선용 필름 뱃지의 취급 방법 (폐지)|2000-12-30||바이오화학서비스표준과|채송화|
379|KS A 4504|방사성 표면 오염의 평가 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
380|KS A 4505|X 선관 장치의 X 선 차폐 시험 방법 (폐지)|1990-12-26||바이오화학서비스표준과|박정은|
381|KS A 4508|산란 X 선 저감 재료의 산란비 시험 방법 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
382|KS A 4509|X 선 및 R 선 및 열중성자용 광범위 필름 배지에 의한 선량 당량 산출 방법 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
383|KS A 4513|배수 중의 B 방사능 농도 측정 방법 (폐지)|2000-12-30||바이오화학서비스표준과|채송화|
384|KS A 4520|게르마늄 R 선 검출기의 시험 방법 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
385|KS A 4521|밀봉 방사선원－일반 요구 사항,분류 및 시험 방법 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
386|KS A 4522|고속 중성자용 필름 배지에 의한 선량 당량 산출 방법|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
387|KS A 4523|환경 감마선 연속 모니터의 교정 방법 (폐지)|2000-12-30||바이오화학서비스표준과|채송화|
388|KS A 4606|방사선 시험을 위한 산업용 X선 장치|2020-12-23|2020-0513|바이오화학서비스표준과|채송화|
389|KS A 4607|공업용 고정식 X 선 장치 (폐지)|1990-12-26||바이오화학서비스표준과|지민호|
390|KS A 4608|회전형 60Co 원격 치료 장치 (폐지)|2018-06-15|2018-45|의료기기정책과|정상오|
391|KS A 4609|의료용 X 선 영상 증강 장치 (폐지)|2021-06-28|2021-50|의료기기정책과|정상오|
392|KS A 4610|X선 및 γ 선용 선량 측정 서베이미터|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
393|KS A 4614|방사선 응용 계측기용 선원 용기 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
394|KS A 4701|의료용 X선관 장치 통칙 (폐지)|2002-10-23|2002-1342|전기전자정보표준과|서순규|
395|KS A 4702|흉부 간접 촬영용 커패시터식 X 선 장치 (폐지)|2017-12-29|2017-107|의료기기정책과|정상오|
396|KS A 4703|의료용 X 선 기계 장치 통칙 (폐지)|2013-01-24||전기전자정보표준과|서순규|
397|KS A 4722|의료용 X 선 발생 장치용 고전압 플러그 및 소켓 (폐지)|2021-12-28|2021-110|의료기기정책과|정상오|
398|KS A 4723|의료용 X 선 발생 장치용 플러그가 붙은 고전압 케이블|2021-12-08|2021-103|의료기기정책과|정상오|
399|KS A 4724|실내 환경 감시용 필름 배지|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
400|KS A 4725|암류 X선 차폐용 세터 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
401|KS A 4726|방사성 요오드 채집기 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
402|KS A 4727|공업용 X 선 발생 장치에 대한 유효 초점 치수의 측정 방법 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
403|KS A 4728|X 선 사진 필름용 네임 프린터|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
404|KS A 4729|산란 X 선 제거용 그리드 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
405|KS A 4730|진단용 일체형 X 선 발생 장치 (폐지)|2013-01-24||전기전자정보표준과|서순규|
406|KS A 4731|진단용 일체형 X-선 발생 장치 (폐지)|2002-10-23|2002-1342|전기전자정보표준과|서순규|
407|KS A 4732|진단용 X선 가변 조사야 제한기구|2018-08-22|2018-62|의료기기정책과|정상오|
408|KS A 4801|방사성 오염 방호용 작업 신발|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
409|KS A 4802|흉부 X 선 간접 촬영용 방호 상자 (폐지)|2017-12-29|2017-107|의료기기정책과|정상오|
410|KS A 4807|진찰용 X 선 방호 의자 (폐지)|1990-12-26||바이오화학서비스표준과|지민호|
411|KS A 4808|방사성 물질 취급 작업용 글러브 박스|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
412|KS A 4812|방사성 에어로졸용 고성능 에어 필터|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
413|KS A 4816|후방 산란 X 선 저감 도료 (폐지)|2000-12-30||바이오화학서비스표준과|채송화|
414|KS A 4817|방사선 차폐용 납 벽돌 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
415|KS A 4901|X선 장치용 산란 방지용 그리드의 특성 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
416|KS A 4902|X 선용 해상력 시험 차트|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
417|KS A 4903|X 선 간접 촬영용 회전 마커 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
418|KS A 4904|X선 변조도 전달함수 측정용 시험 차트|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
419|KS A 4905|의료용 방사선 필름 카세트|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
420|KS A 4906|X 선 촬영용 리이더 촬영대 (폐지)|1990-12-26||바이오화학서비스표준과|박정은|
421|KS A 4907|방사선용 필름 마커 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
422|KS A 4911|X 선 형광판의 치수 (폐지)|2001-11-09|2001-0718|바이오화학서비스표준과|채송화|
423|KS A 4912|의료용 X 선 증감지의 치수|2021-12-08|2021-103|의료기기정책과|정상오|
424|KS A 4913|X 선 필름 행거 (폐지)|1991-06-03||바이오화학서비스표준과|박정은|
425|KS A 4914|X 선 필름용 현상탱크 (폐지)|1990-12-26||바이오화학서비스표준과|박정은|
426|KS A 4915|흉복부용 X-선 물 팬텀 (폐지)|2002-10-23|2002-1342|전기전자정보표준과|서순규|
427|KS A 4916|방사성 표면 오염계 교정용 선원 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
428|KS A 4917|환자용 X 선 방호복 (폐지)|2020-12-30|2020-126|의료기기정책과|정상오|
429|KS A 4918|공업용 방사선 투과사진 관찰기 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
430|KS A 4919|X 선 및 γ 선용 개인 선량계 통칙 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
431|KS A 4920|의료용 방사선 용어|2019-11-25|제2019-107호|의료기기정책과|정상오|
432|KS A 4921|방사선 시험을 위한 산업용 γ 선 장치 (폐지)|2013-10-21|2013-0554|바이오화학서비스표준과|채송화|
433|KS A 4922|X선 및 γ 선 개인 선량계 교정용 모형(팬텀)|2020-12-23|2020-0513|바이오화학서비스표준과|채송화|
434|KS A 5000|열수지 계산 방법 통칙|2018-12-27|2018-0560|바이오화학서비스표준과|채송화|
435|KS A 5001|열수지 계산 선도 기호|2020-12-23|2020-0513|바이오화학서비스표준과|채송화|
436|KS A 5005|살균 자외선의 측정 방법|2021-03-19|2021-22|의료기기정책과|정상오|
437|KS A 5006|유해 자외 방사의 측정 방법|2021-03-19|2021-22|의료기기정책과|정상오|
438|KS A 5101|시험용 체 (폐지)|2004-12-18|2004-1006|바이오화학서비스표준과|지민호|
439|KS A 5101-1|시험용 체－제1부：금속망 체|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
440|KS A 5101-2|시험용 체－제2부：금속판 체|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
441|KS A 5101-3|시험용체-제3부:전기 도금 체|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
442|KS A 5103|점도계 교정용 표준액|2018-09-05|2018-0312|기계융합산업표준과|윤승환|
443|KS A 5105|pH 측정용 유리 전극|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
444|KS A 5106|비중부액계 (폐지)|1988-06-08||기계융합산업표준과|양승배|
445|KS A 5111|표준자 (폐지)|1978-11-27||기계융합산업표준과|양승배|
446|KS A 5112|목제접자 (폐지)|1995-12-04||기계융합산업표준과|양승배|
447|KS A 5113|옥타브 및 1/3 옥타브 밴드 분석기 (폐지)|2003-11-14|2003-1435||김세진|
448|KS A 5201|종이의 재단치수 (폐지)|2006-11-10|2006-0652|바이오화학서비스표준과|박현영|
449|KS A 5301|주물사의 시험 방법|2021-05-24|2021-0131|기계융합산업표준과|윤승환|
450|KS A 5302|주물사 입도 시험 방법 (폐지)|1995-12-04||기계융합산업표준과|윤승환|
451|KS A 5303|주물사의 통기도 시험 방법 (폐지)|1995-12-04||기계융합산업표준과|윤승환|
452|KS A 5304|주물사의 압축 강도 시험 방법 (폐지)|1995-12-04||기계융합산업표준과|윤승환|
453|KS A 5305|주물사의 수분 시험 방법 (폐지)|1995-12-04||기계융합산업표준과|윤승환|
454|KS A 5306|주물사의 강열 감량 시험 방법 (폐지)|1995-12-04||기계융합산업표준과|윤승환|
455|KS A 5307|주물사의 노화도 시험 방법 (폐지)|1995-12-04||기계융합산업표준과|윤승환|
456|KS A 5401|날짜의 표기 방법 (폐지)|1997-11-26||바이오화학서비스표준과|정권호|
457|KS A 5402|주 번호 결정법 (폐지)|2014-11-25|2014-0761|기계융합산업표준과|김민우|
458|KS B 5501|사진 촬영용 색온도 변환 유리 필터|2017-09-28|2017-0399|기계융합산업표준과|고설근|
459|KS A 5552|인간공학-인체치수 측정 (폐지)|2002-08-07|2002-0830|바이오화학서비스표준과|지민호|
460|KS A 5556|열환경의 인간 공학－피복 조합의 단열과 증발 저항의 추정|2021-09-30|2021-0422|바이오화학서비스표준과|지민호|
461|KS A 5557|저온 환경의 평가－필요 피복 단열의 결정|2021-09-30|2021-0422|바이오화학서비스표준과|지민호|
462|KS A 5561-2|고령자 및 장애인 배려 설계 지침 ─ 제2부: 소비 생활 제품의 조작성|2019-11-14|2019-0364|바이오화학서비스표준과|지민호|
463|KS A 5561-5|고령자 및 장애인 배려 설계지침 ─ 제5부: 포장 및 용기|2019-11-14|2019-0364|바이오화학서비스표준과|지민호|
464|KS A 5561-6|고령자 및 장애인 배려 설계 지침 ─ 제6부: 포장 및 용기 ─ 개봉성 시험방법|2019-11-14|2019-0364|바이오화학서비스표준과|지민호|
465|KS A 5562|고령자 배려 설계 지침 ─ 의류|2019-11-14|2019-0364|바이오화학서비스표준과|지민호|
466|KS A 5606|기계 부품의 내구 시험 설계|2022-09-02|2022-0282|전기전자정보표준과|조형민|
467|KS A 5607|성능 열화 특성에 의한 신뢰성 보증|2022-09-02|2022-0282|전기전자정보표준과|조형민|
468|KS A 5608-1|가속 수명 시험 — 제1부: 가속 수명 시험의 개요|2022-09-02|2022-0282|전기전자정보표준과|조형민|
469|KS A 5608-2|가속 수명 시험 — 제2부: 가속 수명 시험의 설계|2022-09-02|2022-0282|전기전자정보표준과|조형민|
470|KS A 5608-3|가속 수명 시험 — 제3부: 가속 수명 시험 데이터 분석|2022-09-02|2022-0282|전기전자정보표준과|조형민|
471|KS A 5700|디지털 시네마 용어|2018-03-14|2018-0057|바이오화학서비스표준과|박정은|
472|KS A 6001-1|옥외광고물 — 일반 요구사항|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
473|KS A 6001-2|옥외 광고물 ─ 제2부: 벽면 이용 광고물 ─ 일반 요구 사항 (폐지)|2016-10-19|2016-0372|바이오화학서비스표준과|박정은|
474|KS A 6001-3|옥외 광고물 ─ 제3부: 벽면 돌출 광고물 ─ 일반 요구 사항 (폐지)|2016-10-19|2016-0372|바이오화학서비스표준과|박정은|
475|KS A 6001-4|옥외 광고물 ─ 제4부：지주 이용 광고물 ─ 일반 요구 사항 (폐지)|2016-10-19|2016-0372|바이오화학서비스표준과|박정은|
476|KS A 6001-5|옥외 광고물 ─ 제5부: 옥상 광고물 ─ 일반 요구 사항 (폐지)|2016-10-19|2016-0372|바이오화학서비스표준과|박정은|
477|KS A 6001-6|옥외광고물 ─ 미디어 보드 ─ 일반 요구사항|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
478|KS A 6001-7|옥외광고물 ━ 제7부: 교통시설이용 광고물 ━ 일반 요구사항 (폐지)|2016-10-19|2016-0372|바이오화학서비스표준과|박정은|
479|KS A 6001-8|옥외광고물 ─ 제8부: 시설물이용 광고물 ─ 일반 요구사항 (폐지)|2016-10-19|2016-0372|바이오화학서비스표준과|박정은|
480|KS A 6001-9|옥외광고물 ─ 제9부: 교통수단이용 광고물 ─ 일반 요구사항 (폐지)|2016-10-19|2016-0372|바이오화학서비스표준과|박정은|
